Date,Weekday,High,Low,H1,L1,H2,L2,H3,L3,H4,L4,H5,L5,H6,L6,H7,L7,1DAH,1DAL,2DAH,2DAL,3DAH,3DAL,4DAH,4DAL,5DAH,5DAL,6DAH,6DAL,7DAH,7DAL
1-May-16,Sunday,51,45,53,50,56,47,59,47,60,43,62,48,64,50,64,46,65,46,58,45,59,48,62,46,60,47,69,50,68,47
2-May-16,Monday,60,45,62,52,65,48,58,48,57,48,56,44,60,46,60,52,51,45,65,46,58,45,59,48,62,46,60,47,69,50
3-May-16,Tuesday,56,51,58,49,63,53,61,52,63,50,62,47,58,46,63,50,60,45,51,45,65,46,58,45,59,48,62,46,60,47
4-May-16,Wednesday,52,48,56,47,60,48,66,52,70,56,58,46,63,48,63,48,56,51,60,45,51,45,65,46,58,45,59,48,62,46
5-May-16,Thursday,57,46,60,48,60,46,57,50,64,52,69,53,62,48,63,50,52,48,56,51,60,45,51,45,65,46,58,45,59,48
6-May-16,Friday,54,48,55,48,56,48,53,48,55,46,65,55,65,51,67,51,57,46,52,48,56,51,60,45,51,45,65,46,58,45
7-May-16,Saturday,60,48,63,51,67,51,58,52,61,50,64,53,67,54,63,49,54,48,57,46,52,48,56,51,60,45,51,45,65,46
8-May-16,Sunday,66,49,68,52,65,50,65,48,62,50,60,52,65,48,70,54,60,48,54,48,57,46,52,48,56,51,60,45,51,45
9-May-16,Monday,72,52,72,50,72,53,70,53,68,50,64,51,65,55,68,53,66,49,60,48,54,48,57,46,52,48,56,51,60,45
10-May-16,Tuesday,63,50,64,50,68,52,70,54,68,55,67,52,66,53,70,60,72,52,66,49,60,48,54,48,57,46,52,48,56,51
11-May-16,Wednesday,76,50,70,55,72,53,73,55,68,53,68,53,70,53,67,55,63,50,72,52,66,49,60,48,54,48,57,46,52,48
12-May-16,Thursday,80,56,76,58,73,56,73,55,74,54,71,53,65,52,68,51,76,50,63,50,72,52,66,49,60,48,54,48,57,46
13-May-16,Friday,65,58,73,55,72,57,68,55,68,56,66,52,66,52,66,53,80,56,76,50,63,50,72,52,66,49,60,48,54,48
14-May-16,Saturday,73,56,70,50,70,46,72,45,70,48,70,47,65,50,70,52,65,58,80,56,76,50,63,50,72,52,66,49,60,48
15-May-16,Sunday,57,46,61,44,61,42,62,43,62,43,62,45,64,46,66,50,73,56,65,58,80,56,76,50,63,50,72,52,66,49
16-May-16,Monday,66,43,65,52,65,52,64,50,64,48,63,48,63,47,65,48,57,46,73,56,65,58,80,56,76,50,63,50,72,52
17-May-16,Tuesday,64,52,64,47,68,53,68,55,68,52,65,52,70,55,67,53,66,43,57,46,73,56,65,58,80,56,76,50,63,50
18-May-16,Wednesday,58,54,66,53,68,50,65,52,66,53,65,53,70,55,77,58,64,52,66,43,57,46,73,56,65,58,80,56,76,50
19-May-16,Thursday,73,54,71,54,72,54,70,53,71,55,70,57,70,55,72,57,58,54,64,52,66,43,57,46,73,56,65,58,80,56
20-May-16,Friday,76,53,76,57,75,56,75,56,75,55,75,58,74,55,72,56,73,54,58,54,64,52,66,43,57,46,73,56,65,58
21-May-16,Saturday,66,54,66,55,70,55,68,52,68,52,73,52,76,58,72,53,76,53,73,54,58,54,64,52,66,43,57,46,73,56
22-May-16,Sunday,70,52,71,54,66,53,68,55,72,55,72,55,70,54,75,58,66,54,76,53,73,54,58,54,64,52,66,43,57,46
23-May-16,Monday,78,56,75,54,72,55,68,56,68,56,73,56,74,56,72,55,70,52,66,54,76,53,73,54,58,54,64,52,66,43
24-May-16,Tuesday,73,58,68,58,70,60,68,60,71,57,71,57,75,54,68,57,78,56,70,52,66,54,76,53,73,54,58,54,64,52
25-May-16,Wednesday,88,61,84,66,83,66,83,66,80,66,81,62,77,60,76,58,73,58,78,56,70,52,66,54,76,53,73,54,58,54
26-May-16,Thursday,90,69,86,65,86,65,85,68,83,62,83,66,80,63,76,60,88,61,73,58,78,56,70,52,66,54,76,53,73,54
